time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	behavior_active	
0.0	0.0	0.6533298340861056	0	1	0	0	0	0	0.09353408217430115	3.784586442634463e-05	0.0	0.0	1.388472318649292	1.388472318649292	1.218209078055531e-09	1.218209078055531e-09	2.4364181672154582e-09	0.0	0.1470969319343567	1	
0.84	2.1104468032717705e-05	0.43150635332298504	1	0	0	0	0	0	0.09209476411342621	2.7494454116094857e-05	-0.0017134738819939751	-0.002039849859516637	1.4746350049972534	1.4746350049972534	0.02636729329289603	0.0263672932928961	0.05273458696366953	0.0	0.6086637377738953	0	
1.6400000000000001	1.553562469780445e-05	1.2082928640775588	0	0	1	0	0	1	0.002588641596958041	3.3226537198061123e-05	-0.11188265314558521	-0.1398533164319815	1.5	1.5	0.15478523055745336	0.15478523055745327	0.30957044641209813	0.0	0.011394647881388664	0	
2.45	1.9897008314728737e-05	2.275509114239528	0	0	1	0	0	0	0.010036115534603596	3.429316348046996e-05	0.009194412268698215	0.011351126257652118	1.5	1.5	0.043938611657588576	0.04393861165758856	0.08787722236034165	0.0	5.9071622672490776e-05	1	
3.29	1.91335566341877e-05	3.4663583745517936	0	0	1	0	0	1	0.0029469539877027273	4.290442666388117e-05	-0.008439478032024843	-0.010046997657172433	1.5	1.5	0.008071348257468481	0.008071348257468481	0.016142697259889385	0.0	1.6344874609330873e-07	0	
4.13	1.7538550309836864e-05	3.752832632405604	0	0	0	0	0	1	0.009590492583811283	3.3064319723052904e-05	0.007908974519176852	0.00941544585616292	1.2794320583343506	1.2794320583343506	1.466779606774532e-22	1.466779606774511e-22	2.916589199156779e-22	0.0	3.8106545474647646e-08	0	
4.95	2.0709121599793434e-05	3.2143846273106607	0	0	1	0	0	1	0.006230748724192381	8.34946877148468e-06	-0.004097248609291344	-0.0049966446454772495	1.4934443235397339	1.4934443235397339	1.8259275810537147e-24	1.8259275810537404e-24	1.8259275810537147e-24	0.0	5.088055559099303e-07	0	
5.77	1.5356694348156452e-05	2.9799167355788314	0	0	1	0	0	1	0.006999218370765448	4.8011082981247455e-05	0.0009371581055769107	0.0011428757385084278	1.499802589416504	1.499802589416504	8.443448602001874e-17	8.443448602001874e-17	1.6886897351614865e-16	0.0	1.6041572052927222e-06	0	
6.58	2.1090148948132992e-05	3.1356360715016303	0	0	1	0	0	1	0.003294468391686678	-5.13660088472534e-05	-0.004573765406270086	-0.00564662395835813	1.5	1.5	2.563649485943225e-11	2.563649485943225e-11	5.12729895226826e-11	0.0	8.000072284630733e-07	0	
7.36	1.6770558431744576e-05	3.620686844359546	0	0	0	0	0	1	0.0027134448755532503	2.6771844204631634e-05	-0.0007449019437608046	-0.0009550024920010315	1.5	1.5	1.405963539012376e-08	1.405963539012376e-08	2.8119270623944462e-08	0.0	8.469204715311207e-08	0	
8.15	1.958583015948534e-05	4.3461300806668675	0	0	0	0	0	1	0.005172306671738625	5.09893216076307e-05	0.0031124832863106003	0.003939852261152658	1.5	1.5	2.0880407355063166e-07	2.0880407355063166e-07	4.1760814092041493e-07	0.0	1.784248304659286e-09	0	
8.92	1.4523160643875599e-05	5.191495429064501	0	0	0	0	0	1	0.002588641596958041	3.3219628676306456e-05	-0.0033554091880267315	-0.004357674270164587	1.5	1.5	4.634647938410858e-07	4.634647938410858e-07	9.269295946006246e-07	0.0	2.3440999141755015e-11	0	
